property_id,assessor_parcel_id,pin,site_address,zip_code,council_district,community_plan_area,neighborhood_council,base_zoning,base_zoning_description,full_zoning_code,general_plan_land_use,specific_plan_area,overlay_count,lot_size_sqft,building_size_sqft,year_built,number_of_units,use_code,assessed_land_value,assessed_improvement_value,total_assessed_value,toc_eligible,opportunity_zone,high_quality_transit,residential_market_area,commercial_market_area,methane_zone,flood_zone,fault_zone,rent_stabilization,housing_replacement_required,data_completeness_score,development_score,score_breakdown,suggested_use,investment_tier,latitude,longitude,dist_downtown_miles,dist_santa_monica_miles,dist_hollywood_miles,dist_lax_miles,dist_ucla_miles,dist_usc_miles,nearest_metro_station,nearest_metro_distance,nearest_metro_lines,freeway_distance_miles,walkability_score,location_premium_bonus,transit_accessibility_bonus,highway_access_bonus,total_geographic_bonus,enhanced_development_score,enhanced_investment_tier,enhanced_suggested_use
571,2508-001-010,222B153 95,14260 W ASTORIA ST,91342,CD 7 - Monica Rodriguez,Sylmar,Sylmar,R1,Single Family Residential,R1-1,Low II Residential,,0,6974.5,1183.0,1957.0,1.0,0100 - Residential - Single Family Residence,130274.0,183845.0,314119.0,False,Not Eligible,Yes,Low,Low,,Outside Flood Zone,,No [APN: 2508001010],,87.5,35.27,"{""zoning_score"": 40.0, ""lot_size_score"": 69.8725, ""transit_bonus"": 15.0, ""financial_score"": 8.0, ""risk_penalty"": 0.0}",Hold/Income Property,D,34.0522,-118.3863,8.18,6.43,4.39,7.66,3.57,6.16,Westwood/Rancho Park,2.99,Expo,1.15,50,0.0,0.0,1.0,1.0,36.27,D,Assembly Opportunity Lead
573,5223-015-003,135A233 234,1859 N HEIDLEMAN RD,90032,CD 14 - Ysabel Jurado,Northeast Los Angeles,LA32,[Q]R1-1D-HCR,,[Q]R1-1D-HCR,Low Residential,,0,5256.8,1311.0,1947.0,1.0,0100 - Residential - Single Family Residence,195658.0,64271.0,259929.0,True,Not Eligible,Yes,Medium,Medium,,Outside Flood Zone,,No [APN: 5223015003],,84.4,36.07,"{""zoning_score"": 35.0, ""lot_size_score"": 61.284, ""transit_bonus"": 35.0, ""financial_score"": 15.0, ""risk_penalty"": 0.0}",Teardown/Rebuild Opportunity,D,34.07079,-118.2437,1.28,14.64,5.88,12.93,11.56,4.09,Civic Center/Grand Park,1.03,"Red,Purple",1.48,55,0.0,2.0,1.0,3.0,39.07,D,Teardown/Rebuild Opportunity
574,2420-037-010,168B181 210,4549 N TALOFA AVE,91602,CD 2 - Adrin Nazarian,North Hollywood - Valley Village,Greater Toluca Lake,RE,Residential Estate,RE9-1,Low Residential,,0,6981.7,2038.0,1938.0,1.0,0100 - Residential - Single Family Residence,138869.0,259565.0,398434.0,True,Not Eligible,Yes,Medium,Medium,,Outside Flood Zone,,No [APN: 2420037010],,87.5,37.23,"{""zoning_score"": 35.0, ""lot_size_score"": 69.9085, ""transit_bonus"": 35.0, ""financial_score"": 5.0, ""risk_penalty"": 0.0}",Hold/Income Property,D,34.09769,-118.2437,3.14,15.19,5.47,14.26,11.72,5.71,Civic Center/Grand Park,2.88,"Red,Purple",0.27,40,0.0,0.0,3.0,3.0,40.23,C,Assembly Opportunity Lead
576,6039-007-021,093A201 111,402 W 95TH ST,90003,CD 8 - Marqueece Harris-Dawson,South Los Angeles,Empowerment Congress Southeast,R1,Single Family Residential,R1-1,Low II Residential,SOUTH LOS ANGELES ALCOHOL SALES,2,6075.4,792.0,1923.0,1.0,0100 - Residential - Single Family Residence,178055.0,124603.0,302658.0,True,Not Eligible,Yes,Low,Low,,Outside Flood Zone,,No [APN: 6039007021],,90.6,37.54,"{""zoning_score"": 40.0, ""lot_size_score"": 65.377, ""transit_bonus"": 35.0, ""financial_score"": 8.0, ""risk_penalty"": 6.0}",Hold/Income Property,D,34.0522,-118.24772,0.23,14.15,6.27,11.91,11.39,2.97,Civic Center/Grand Park,0.27,"Red,Purple",0.2,55,0.0,10.0,3.0,13.0,50.54,C+,TOD Development Site
577,5486-012-026,156A231 380,521 N NEVA PL,90042,CD 14 - Ysabel Jurado,Northeast Los Angeles,Historic Highland Park,R1,Single Family Residential,R1-1-HCR,Low Residential,,0,4594.5,1289.0,1924.0,1.0,0100 - Residential - Single Family Residence,166706.0,66237.0,232943.0,True,Not Eligible,Yes,Medium,Medium,,Outside Flood Zone,,No [APN: 5486012026],,87.5,36.49,"{""zoning_score"": 40.0, ""lot_size_score"": 55.945, ""transit_bonus"": 35.0, ""financial_score"": 15.0, ""risk_penalty"": 0.0}",ADU Development,D,34.05741,-118.2437,0.36,14.44,6.28,12.32,11.59,3.39,Civic Center/Grand Park,0.2,"Red,Purple",0.63,75,0.0,10.0,2.0,12.0,48.49,C,TOD Development Site
579,5001-014-024,108B197 1302,829 W 58TH ST,90037,CD 9 - Curren D. Price Jr.,South Los Angeles,Voices,R2,Two Family Residential,R2-1-CPIO,Low Medium I Residential,SOUTH LOS ANGELES ALCOHOL SALES,3,4530.5,1008.0,1909.0,1.0,0100 - Residential - Single Family Residence,111315.0,30427.0,141742.0,True,Not Eligible,Yes,Low,Low,,Outside Flood Zone,,No [APN: 5001014024],Yes,93.8,38.93,"{""zoning_score"": 50.0, ""lot_size_score"": 55.305, ""transit_bonus"": 35.0, ""financial_score"": 15.0, ""risk_penalty"": 9.0}",Teardown/Rebuild Opportunity,D,34.0522,-118.25199,0.48,13.91,6.06,11.73,11.14,2.8,Pershing Square,0.24,"Red,Purple",0.19,65,0.0,10.0,3.0,13.0,51.93,C+,Assembly Opportunity Lead
580,2126-007-033,183B125 186,18524 W SHERMAN WAY,91335,CD 3 - Bob Blumenfield,Reseda - West Van Nuys,Reseda,[Q]C2-2D-CDO-RIO,,[Q]C2-2D-CDO-RIO,Community Commercial,,2,3499.8,3000.0,0.0,0.0,1100 - Commercial - Store - One Story,113892.0,169855.0,283747.0,True,Not Eligible,Yes,Medium,Medium,,Outside Flood Zone,,No [APN: 2126007033],,84.4,29.9,"{""zoning_score"": 35.0, ""lot_size_score"": 44.998000000000005, ""transit_bonus"": 35.0, ""financial_score"": 0.0, ""risk_penalty"": 6.0}",Hold/Income Property,D,34.0522,-118.42894,10.63,4.23,6.2,7.66,1.48,8.51,Westwood/Rancho Park,1.08,Expo,0.53,50,0.49,2.0,2.0,4.49,34.39,D,Hold/Income Property
583,2408-017-014,192B173 301,8430 N BRADLEY AVE,91352,CD 6 - Imelda Padilla,Sun Valley - La Tuna Canyon,Sun Valley,R1,Single Family Residential,R1-1-CUGU,Low Residential,,0,6284.1,845.0,1953.0,1.0,0101 - Residential - Single Family Residence - Pool,163209.0,97663.0,260872.0,True,Not Eligible,,Low,Medium,,Outside Flood Zone,,No [APN: 2408017014],,84.4,35.41,"{""zoning_score"": 40.0, ""lot_size_score"": 66.4205, ""transit_bonus"": 20.0, ""financial_score"": 8.0, ""risk_penalty"": 0.0}",Hold/Income Property,D,34.1365,-118.2437,5.81,16.33,5.95,16.36,12.46,8.21,Hollywood/Vine,5.33,Red,1.65,50,0.0,0.0,1.0,1.0,36.41,D,Assembly Opportunity Lead
584,5511-042-009,135B173 50,6537 W COLGATE AVE,90048,CD 5 - Katy Young Yaroslavsky,Wilshire,Mid City West,R1,Single Family Residential,R1-1-O-RFA,Low II Residential,,1,6247.3,1857.0,1928.0,1.0,0100 - Residential - Single Family Residence,845296.0,251052.0,1096348.0,True,Not Eligible,Yes,Medium-High,High,Methane Zone,Outside Flood Zone,,No [APN: 5511042009],,90.6,38.26,"{""zoning_score"": 40.0, ""lot_size_score"": 66.2365, ""transit_bonus"": 35.0, ""financial_score"": 15.0, ""risk_penalty"": 8.0}",SB9 Lot Split Opportunity,D,34.0522,-118.30907,3.75,10.69,3.85,9.46,7.89,2.47,Koreatown/Wilshire,0.67,Purple,1.29,60,0.0,4.0,1.0,5.0,43.26,C,SB9 Lot Split Opportunity + Location Premium
587,5026-017-009,114B181 616,4320 W DON FELIPE DR,90008,CD 8 - Marqueece Harris-Dawson,West Adams - Baldwin Hills - Leimert,Empowerment Congress West,R1,Single Family Residential,R1-1,Low II Residential,SOUTH LOS ANGELES ALCOHOL SALES,2,12149.0,2340.0,1955.0,1.0,0101 - Residential - Single Family Residence - Pool,36064.0,113713.0,149777.0,False,Not Eligible,Yes,Medium,Medium,,Outside Flood Zone,,No [APN: 5026017009],,90.6,37.74,"{""zoning_score"": 40.0, ""lot_size_score"": 82.149, ""transit_bonus"": 15.0, ""financial_score"": 8.0, ""risk_penalty"": 6.0}",Hold/Income Property,D,34.0522,-118.2869,2.48,11.94,4.56,10.28,9.15,2.06,Wilshire/Vermont,0.72,"Red,Purple",1.4,60,0.0,5.0,1.0,6.0,43.74,C,Assembly Opportunity Lead
